time,time_raw,flux
54966.04481928,54966.04481928,-37.5768492327945
54966.06525387,54966.06525387,-79.75769915634302
54966.08568846,54966.08568846,-419.4722934923078
54966.10612305,54966.10612305,-360.26897700625074
54966.12655764,54966.12655764,-157.30619571322987
54966.14699223,54966.14699223,-355.70522056355185
54966.16742682,54966.16742682,-835.5076292777865
54966.1878614,54966.1878614,-422.1733110466063
54966.20829609,54966.20829609,11.650552252140471
54966.22873058,54966.22873058,-442.0490684879253
54966.24916517,54966.24916517,-442.94864688239693
54966.26959976,54966.26959976,-951.284436281008
54966.29003435,54966.29003435,-411.87840625346837
54966.31046894,54966.31046894,-627.5847691226038
54966.33090342,54966.33090342,-630.6991974637671
54966.35133811,54966.35133811,-618.0626895974252
54966.3717727,54966.3717727,-1180.096710306403
54966.39220729,54966.39220729,-827.4458461197116
54966.41264188,54966.41264188,-656.7147208738448
54966.43307646,54966.43307646,-244.9433878551955
54966.45351105,54966.45351105,39.96804341073576
54966.47394554,54966.47394554,-606.3763122301659
54966.49438023,54966.49438023,-447.2940009254942
54966.51481481,54966.51481481,-194.42154501777344
54966.5352493,54966.5352493,-67.1612902692348
54966.55568399,54966.55568399,235.67192925314845
54966.57611858,54966.57611858,-80.948222033201
54966.59655306,54966.59655306,-260.29401443784604
54966.61698765,54966.61698765,-616.9031072830403
54966.63742234,54966.63742234,-759.7671220651748
54966.65785693,54966.65785693,-163.53021478061777
54966.67829141,54966.67829141,-215.72640664116264
54966.6987261,54966.6987261,-236.01097704888022
54966.71916069,54966.71916069,-159.91127489240253
54966.73959517,54966.73959517,-250.87461266124203
54966.76002976,54966.76002976,-130.94652033807782
54966.78046445,54966.78046445,-421.1847121801727
54966.80089893,54966.80089893,-511.20415434596555
54966.82133352,54966.82133352,-446.81358063393014
54966.84176811,54966.84176811,-637.7342187348675
54966.86220269,54966.86220269,-444.20726762539044
54966.88263728,54966.88263728,-598.8451546173392
54966.90307187,54966.90307187,-429.2553822267486
54966.92350645,54966.92350645,-227.0387135525746
54966.94394104,54966.94394104,-647.0722597998858
54966.96437563,54966.96437563,-951.1256813398924
54966.98481011,54966.98481011,-842.4123349858281
54967.0052448,54967.0052448,-490.5095425736405
54967.02567938,54967.02567938,-456.07622924700934
54967.04611387,54967.04611387,-451.8602406088751
54967.06654855,54967.06654855,-456.10878934412165
54967.08698314,54967.08698314,-468.5099428623033
54967.10741763,54967.10741763,-312.48247908090633
54967.12785221,54967.12785221,48.324886425535084
54967.1482869,54967.1482869,-138.2712401258834
54967.16872148,54967.16872148,-255.95996498882252
54967.18915597,54967.18915597,-276.6191538900822
54967.20959065,54967.20959065,-678.5922323405088
54967.23002524,54967.23002524,-436.86622700891627
54967.25045972,54967.25045972,-301.489430352441
54967.27089431,54967.27089431,-822.3058258775313
54967.29132899,54967.29132899,-380.4096842405919
54967.31176348,54967.31176348,-208.7066877879636
54967.33219806,54967.33219806,-156.40744788662002
