  KIC   numax  e_numax   dnu e_dnu  dpi e_dpi  q e_q   eps_g e_eps_g    rot  e_rot
  2575044   32.40  0.51   4.08 0.04  297.68 0.16  0.32 0.04  -0.026 0.054    20   7
  2578581  207.60  2.84  15.99 0.09   86.48 0.20  0.14 0.02   0.209 0.069   280  33
  2579661  138.70  1.57  11.21 0.05   76.34 0.11  0.12 0.02   0.319 0.142   290  24
  2582764   32.50  0.51   4.04 0.04  300.14 0.32  0.20 0.03  -0.057 0.112    25   7
  2583386   72.80  0.83   6.40 0.04   87.38 0.04  0.18 0.02   0.033 0.087    40  10
  2583651   34.50  0.50   3.94 0.03  274.44 0.33  0.24 0.03   0.093 0.147    30   7
  2583884   57.00  0.71   5.51 0.04  305.57 0.29  0.28 0.03   0.034 0.057    25   7
  2584478  181.50  2.17  13.96 0.07   81.07 0.09  0.13 0.02   0.864 0.076   258  21
  2584997  187.00  2.24  14.45 0.07   83.49 0.04  0.13 0.02   0.331 0.028   160  14
  2585190   47.20  0.61   4.74 0.04  331.66 0.59  0.28 0.04  -0.085 0.121    60  15
  2692629  208.40  2.88  16.29 0.09   87.69 0.08  0.15 0.02   0.334 0.050   210  18
  2693967   85.40  0.94   7.05 0.04  230.81 0.43  0.18 0.02  -0.038 0.099   140  27
  2695592   37.60  0.55   4.31 0.04  307.68 0.19  0.33 0.04  -0.202 0.056    60  14
  2696739  193.00  2.32  15.19 0.06   85.70 0.17  0.15 0.02   0.331 0.127   999 999
  2697082   31.60  0.42   3.33 0.03  300.68 0.24  0.30 0.04  -0.219 0.090    30   7
  2697501   49.80  0.61   4.82 0.04  302.69 0.22  0.25 0.03   0.066 0.050    25   7
  2709625   36.90  0.54   4.31 0.04  284.65 0.22  0.29 0.03   0.013 0.081    30   7
  2713172   31.30  0.53   4.16 0.04  327.27 0.24  0.23 0.04  -0.482 0.075    30   7
  2713391   36.10  0.52   4.13 0.04  292.61 0.13  0.32 0.04  -0.052 0.049    40  10
  2713894   35.53  0.51   4.03 0.04  338.41 0.29  0.26 0.04   0.080 0.077    30   7
  2714090   53.20  0.65   5.09 0.04  271.85 0.12  0.27 0.03  -0.006 0.034    30   7
  2714108   38.20  0.55   4.36 0.04  295.60 0.22  0.24 0.03   0.317 0.066    30   7
  2714397   33.00  0.52   4.15 0.04  328.04 0.19  0.30 0.04  -0.271 0.059    50  12
  2716376   37.20  0.53   4.20 0.03  299.86 0.37  0.37 0.04   0.047 0.130    30   7
  2716608   67.00  0.75   5.74 0.04  316.60 0.54  0.30 0.03   0.014 0.084    38   9
  2719382   32.60  0.52   4.09 0.04  301.25 0.39  0.23 0.03   0.040 0.140    23   7
  2719701  141.80  1.79  11.98 0.07   80.96 0.07  0.15 0.02   0.353 0.079   360  19
  2721170   27.10  0.50   3.99 0.04  306.22 0.19  0.33 0.04   0.190 0.078    10   7
  2835067   83.00  1.00   7.65 0.04   70.84 0.03  0.12 0.02   0.276 0.089   400  15
  2835657   86.30  1.03   7.86 0.04   69.90 0.03  0.12 0.02   0.105 0.078   395  15
  2846543   29.80  0.53   4.22 0.04  295.17 0.22  0.24 0.04  -0.171 0.090    30   7
  2848857   27.40  0.47   3.77 0.04  302.58 0.21  0.35 0.05  -0.289 0.088    10   7
  2853354  125.40  1.45  10.35 0.05   76.19 0.07  0.13 0.02   0.333 0.105   410  20
  2855150   30.90  0.51   4.07 0.04  319.80 0.17  0.25 0.03   0.018 0.063    30   7
  2856803   31.90  0.52   4.09 0.04  319.07 0.18  0.33 0.04  -0.283 0.061    30   7
  2861042   78.60  0.90   6.63 0.05  259.84 0.51  0.22 0.03   0.068 0.098    85  21
  2970396   29.90  0.48   3.83 0.04  286.64 0.15  0.25 0.03  -0.210 0.068    30   7
