KIC,numax,numax_std,Deltanu,Deltanu_err,DPi1,dpi_e,dpi_E,q,q_e,q_E,eps_g,eps_g_e,eps_g_E,drot,drot_e,drot_E,feh,mass,mass_std
4904166,108.592,2.172,9.813,0.002,76.663,0.008,0.027,0.146,0.008,0.019,0.099,0.044,0.006,0.377,0.007,0.009,-0.307,1.121,0.065
4904621,151.428,3.029,12.711,0.005,82.771,0.053,0.236,0.144,0.023,0.015,0.323,0.232,0.05,0.0,0.0,0.0,,,
4912918,102.618,2.052,9.261,0.003,75.802,0.027,0.004,0.142,0.026,0.004,0.194,0.0,0.042,0.346,0.005,0.006,-0.094,1.131,0.065
4920600,101.502,2.03,9.224,0.003,75.989,0.052,0.043,0.116,0.011,0.048,0.132,0.029,0.121,0.451,0.046,0.011,-0.087,1.103,0.065
4926689,166.257,3.325,13.014,0.003,80.052,0.088,0.057,0.147,0.013,0.01,0.283,0.044,0.091,0.26,0.017,0.023,,,
4928958,108.434,2.169,9.644,0.002,77.269,0.033,0.096,0.132,0.022,0.013,0.211,0.136,0.049,0.176,0.011,0.012,0.115,1.094,0.064
4932704,159.973,3.199,12.884,0.005,81.048,0.016,0.04,0.139,0.009,0.014,0.101,0.017,0.017,0.283,0.015,0.016,,,
4934133,91.444,1.829,8.575,0.002,74.68,0.041,0.012,0.111,0.021,0.035,0.203,0.018,0.059,0.0,0.0,0.0,,,
4952717,201.122,4.022,15.553,0.003,87.092,0.205,0.077,0.165,0.022,0.012,0.272,0.058,0.069,0.305,0.012,0.34,0.102,1.111,0.061
4953262,189.715,3.794,14.855,0.003,84.818,0.02,0.061,0.163,0.009,0.008,0.323,0.047,0.014,0.326,0.025,0.014,-0.094,1.188,0.066
4989477,143.305,2.866,11.513,0.003,78.87,0.037,0.056,0.164,0.021,0.009,0.171,0.051,0.038,0.675,0.019,0.019,,,
4991732,105.221,2.104,8.552,0.003,90.11,0.046,0.065,0.124,0.01,0.025,0.094,0.065,0.047,0.19,0.011,0.016,0.115,1.769,0.109
4995788,168.849,3.377,13.505,0.002,84.266,0.083,0.159,0.142,0.034,0.044,0.456,0.095,0.044,0.0,0.0,0.0,0.23,1.111,0.062
5000089,163.172,3.263,13.221,0.002,81.38,0.102,0.27,0.137,0.041,0.052,0.2,0.215,0.07,0.229,0.118,0.076,-0.229,1.221,0.072
5002732,193.173,3.863,15.291,0.005,86.62,0.033,0.274,0.149,0.045,0.051,0.2,0.187,0.012,0.373,0.069,0.049,-0.078,1.064,0.059
5003549,153.553,3.071,12.539,0.003,80.506,0.196,0.302,0.144,0.015,0.013,0.229,0.376,0.035,0.41,0.043,0.023,0.008,1.183,0.067
5006817,145.181,2.904,11.636,0.003,77.524,0.022,0.093,0.138,0.016,0.009,0.193,0.108,0.017,0.455,0.014,0.022,0.129,1.357,0.078
5016549,99.894,1.998,8.676,0.002,70.353,0.031,0.051,0.131,0.016,0.01,0.072,0.059,0.083,0.335,0.01,0.025,-0.56,1.446,0.088
5019587,72.198,1.444,6.821,0.003,68.944,0.036,0.092,0.128,0.026,0.055,0.011,0.11,0.037,0.0,0.0,0.0,,,
5034206,146.13,2.923,11.914,0.001,79.072,0.236,0.041,0.128,0.018,0.017,0.192,0.017,0.26,0.361,0.04,0.035,0.165,1.213,0.07
5035304,139.443,2.789,11.453,0.002,78.583,0.017,0.058,0.138,0.007,0.015,0.136,0.068,0.016,0.533,0.016,0.021,0.186,1.246,0.071
5080831,232.092,4.642,17.312,0.006,90.145,0.098,0.021,0.167,0.008,0.011,0.217,0.009,0.052,0.381,0.044,0.022,0.153,1.13,0.061
5083853,212.663,4.253,16.141,0.007,86.88,0.057,0.008,0.146,0.005,0.008,0.286,0.003,0.042,0.0,0.0,0.0,,,
5105354,146.626,2.933,11.7,0.004,77.457,0.045,0.029,0.128,0.011,0.016,0.164,0.035,0.043,0.352,0.048,0.055,,,
5107886,110.834,2.217,9.353,0.003,75.341,0.011,0.07,0.15,0.025,0.016,0.075,0.093,0.025,0.316,0.017,0.023,-0.192,1.519,0.09
5109052,88.679,1.774,8.381,0.002,74.687,0.044,0.079,0.12,0.036,0.026,0.434,0.064,0.01,0.0,0.0,0.0,-0.167,1.03,0.062
5109878,135.314,2.706,11.273,0.004,78.109,0.091,0.028,0.148,0.019,0.012,0.237,0.026,0.114,0.296,0.019,0.014,-0.268,1.34,0.078
5110453,182.466,3.649,14.851,0.003,85.61,0.113,0.439,0.169,0.047,0.087,0.307,0.351,0.074,0.298,0.148,0.075,,,
5111718,134.089,2.682,10.544,0.002,88.426,0.064,0.029,0.147,0.002,0.014,0.155,0.019,0.068,0.431,0.009,0.016,0.101,1.646,0.099
5112072,125.51,2.51,10.032,0.003,92.313,0.083,0.149,0.176,0.033,0.017,0.079,0.117,0.063,0.384,0.064,0.054,0.039,1.627,0.097
5129236,177.858,3.557,13.925,0.003,84.25,0.009,0.012,0.142,0.004,0.009,0.342,0.006,0.006,0.359,0.012,0.001,0.347,1.171,0.066
5168382,219.903,4.398,16.994,0.004,89.409,0.026,0.098,0.219,0.08,0.038,0.238,0.064,0.013,0.489,0.04,0.038,-0.283,1.116,0.067
5172427,185.525,3.71,14.539,0.004,85.862,0.068,0.188,0.152,0.018,0.01,0.137,0.137,0.059,0.319,0.038,0.011,,,
5176520,151.861,3.037,12.818,0.004,82.134,0.009,0.211,0.153,0.008,0.028,0.159,0.189,0.006,0.29,0.017,0.027,-0.306,1.052,0.06
5197031,169.204,3.384,13.868,0.002,83.754,0.042,0.13,0.157,0.008,0.085,0.138,0.123,0.027,0.396,0.006,0.084,,,
5199978,181.437,3.629,14.565,0.004,85.6,0.105,0.296,0.164,0.019,0.0,0.293,0.214,0.071,0.0,0.0,0.0,,,
5206349,105.783,2.116,9.849,0.002,76.059,0.016,0.009,0.16,0.009,0.014,0.122,0.009,0.022,0.315,0.009,0.008,-0.678,0.994,0.06
5208343,125.498,2.51,10.953,0.004,79.34,0.029,0.099,0.142,0.006,0.01,0.257,0.123,0.029,0.28,0.089,0.028,,,
5214140,88.994,1.78,8.587,0.003,74.702,0.021,0.027,0.148,0.01,0.007,0.143,0.005,0.007,0.38,0.016,0.023,-0.414,0.944,0.058
5215099,77.802,1.556,7.074,0.002,70.065,0.016,0.02,0.09,0.012,0.009,-0.199,0.048,0.009,0.187,0.013,0.01,,,
5252534,169.526,3.391,13.897,0.004,84.385,0.021,0.015,0.15,0.002,0.007,0.206,0.007,0.018,0.333,0.01,0.007,-0.049,1.055,0.058
5254812,90.829,1.817,8.445,0.002,73.795,0.091,0.022,0.121,0.014,0.079,-0.041,0.021,0.177,0.392,0.052,0.009,-0.272,1.176,0.069
5255835,77.301,1.546,7.807,0.003,72.187,0.019,0.008,0.156,0.008,0.009,0.002,0.009,0.042,0.346,0.007,0.009,-0.712,0.923,0.058
5266369,84.113,1.682,8.032,0.001,72.737,0.012,0.09,0.137,0.026,0.036,0.084,0.186,0.028,0.0,0.0,0.0,-0.392,1.154,0.068
5284948,153.719,3.074,12.593,0.004,80.674,0.007,0.103,0.156,0.006,0.012,0.222,0.098,0.007,0.463,0.015,0.012,-0.154,1.211,0.069
5290047,120.036,2.401,10.247,0.002,76.241,0.011,0.115,0.138,0.02,0.024,0.209,0.151,0.005,0.0,0.0,0.0,,,
5295846,184.741,3.695,14.274,0.004,83.726,0.392,0.103,0.179,0.047,0.095,0.125,0.124,0.125,0.0,0.0,0.0,,,
5305945,100.295,2.006,9.447,0.002,76.196,0.019,0.137,0.141,0.029,0.033,0.189,0.229,0.023,0.0,0.0,0.0,,,
5306751,90.391,1.808,8.731,0.002,74.431,0.082,0.013,0.164,0.039,0.086,0.092,0.007,0.087,0.401,0.019,0.006,-0.578,0.974,0.059
5308777,85.289,1.706,7.756,0.003,70.374,0.016,0.037,0.165,0.002,0.023,0.194,0.047,0.02,0.469,0.032,0.014,0.059,1.354,0.079
5340189,189.693,3.794,14.61,0.006,84.171,0.016,0.088,0.141,0.009,0.005,0.205,0.069,0.01,0.399,0.011,0.026,0.082,1.242,0.071
5340720,95.706,1.914,8.946,0.002,75.546,0.003,0.043,0.143,0.01,0.007,0.014,0.067,0.007,0.431,0.015,0.006,-0.289,1.051,0.064
5341746,199.865,3.997,14.986,0.012,84.419,0.232,0.036,0.179,0.007,0.038,0.162,0.026,0.062,0.327,0.095,0.162,,,
5343454,117.402,2.348,10.018,0.001,75.486,0.026,0.064,0.172,0.011,0.019,0.303,0.085,0.048,0.629,0.021,0.009,-0.194,1.319,0.078
5345094,149.599,2.992,12.113,0.004,80.01,0.065,0.076,0.133,0.026,0.009,0.19,0.09,0.041,0.326,0.042,0.03,0.146,1.24,0.07
5356201,211.985,4.24,15.89,0.003,85.713,0.035,0.275,0.145,0.022,0.013,0.237,0.163,0.021,0.427,0.045,0.03,0.158,1.225,0.068
5364240,70.679,1.414,6.74,0.001,68.858,0.007,0.127,0.113,0.015,0.047,-0.017,0.292,0.073,0.0,0.0,0.0,,,
5370902,120.976,2.42,10.105,0.002,74.896,0.05,0.019,0.132,0.009,0.019,-0.166,0.023,0.067,0.465,0.014,0.015,0.123,1.348,0.078
5371124,225.6,4.512,17.562,0.005,90.133,0.004,0.077,0.197,0.005,0.003,0.27,0.041,0.004,0.499,0.002,0.001,-0.432,1.04,0.056
5371756,116.345,2.327,10.069,0.003,75.465,0.075,0.097,0.129,0.015,0.026,0.198,0.124,0.124,0.0,0.0,0.0,-0.199,1.276,0.075
5372224,123.461,2.469,10.224,0.004,76.2,0.173,0.014,0.121,0.016,0.039,-0.35,0.0,0.221,0.0,0.0,0.0,,,
5377341,144.929,2.899,12.094,0.006,80.975,0.025,0.264,0.146,0.012,0.14,0.35,0.197,0.032,0.315,0.032,0.024,,,
5377645,235.6,4.712,16.899,0.003,86.204,0.015,0.147,0.15,0.004,0.019,0.171,0.082,0.01,0.0,0.0,0.0,-0.149,1.435,0.079
5380775,65.496,1.31,5.938,0.001,78.336,0.01,0.0,0.11,0.093,0.111,0.132,0.01,0.048,0.496,0.008,0.003,0.136,1.729,0.108
5384777,212.692,4.254,16.172,0.003,87.855,0.176,0.268,0.185,0.06,0.055,0.342,0.187,0.065,0.245,0.071,0.077,-0.032,1.175,0.065
5385518,56.984,1.14,5.279,0.001,79.536,0.087,0.049,0.119,0.037,0.046,0.291,0.026,0.015,0.0,0.0,0.0,0.045,1.863,0.119
5389263,152.351,3.047,12.805,0.005,82.857,0.096,0.308,0.15,0.015,0.042,0.256,0.344,0.098,0.576,0.054,0.047,,,
5390372,168.953,3.379,13.855,0.004,83.944,0.119,0.027,0.17,0.023,0.033,0.132,0.021,0.088,0.279,0.052,0.013,-0.309,1.056,0.061
5428360,97.39,1.948,8.645,0.003,74.34,0.042,0.02,0.138,0.009,0.024,0.145,0.044,0.06,0.34,0.016,0.018,0.157,1.254,0.073
5429842,191.152,3.823,15.207,0.008,86.205,0.016,0.135,0.159,0.004,0.013,0.282,0.095,0.01,0.0,0.0,0.0,,,
5440198,136.819,2.736,11.341,0.002,78.976,0.038,0.027,0.126,0.004,0.011,0.175,0.024,0.05,0.312,0.003,0.011,0.185,1.206,0.068
5450937,84.867,1.697,7.981,0.002,72.931,0.005,0.007,0.157,0.004,0.005,0.147,0.016,0.011,0.31,0.004,0.003,-0.224,1.164,0.069
5457703,118.574,2.371,10.398,0.002,78.391,0.044,0.057,0.131,0.023,0.026,0.177,0.079,0.048,0.0,0.0,0.0,,,
5461779,117.067,2.341,10.035,0.003,78.351,0.003,0.097,0.113,0.041,0.101,0.136,0.076,0.001,0.385,0.046,0.007,,,
5461921,84.219,1.684,8.168,0.002,72.783,0.053,0.036,0.152,0.009,0.039,0.117,0.075,0.099,0.244,0.01,0.015,-0.288,0.975,0.059
5470218,168.366,3.367,13.591,0.005,83.206,0.022,0.007,0.158,0.01,0.007,0.051,0.007,0.012,0.371,0.022,0.025,-0.075,1.163,0.065
5513771,174.499,3.49,14.368,0.005,84.839,0.008,0.076,0.167,0.006,0.005,0.232,0.061,0.009,0.0,0.0,0.0,-0.303,1.014,0.057
5514689,166.396,3.328,14.027,0.006,84.367,0.054,0.106,0.135,0.022,0.035,0.236,0.09,0.05,0.0,0.0,0.0,,,
5521181,78.925,1.578,7.472,0.003,71.046,0.07,0.041,0.125,0.014,0.016,0.015,0.106,0.148,0.139,0.007,0.008,,,
5522071,115.896,2.318,9.733,0.002,75.124,0.038,0.04,0.123,0.015,0.013,0.248,0.054,0.055,0.0,0.0,0.0,-0.026,1.427,0.083
5522575,115.792,2.316,9.852,0.001,76.37,0.034,0.063,0.128,0.009,0.021,0.127,0.077,0.004,0.263,0.029,0.021,-0.484,1.286,0.079
5530598,104.657,2.093,8.706,0.001,75.958,0.025,0.029,0.129,0.008,0.013,0.151,0.039,0.04,0.381,0.012,0.008,,,
