frequency,amplitude,linewidth,frequency_sd,amplitude_sd,linewidth_sd,convergence,height,AIC,n,l
112.92529506338393,0.39823433782406636,0.014380931121911614,0.012519363783797645,0.11918596290789835,0.012500867404266586,0,3.510270060509541,3.895809332396311,NA,NA
113.53710368621803,0.45046193253774097,0.008214514179771431,0.007380956927886961,0.11871942288002761,0.006297325088573348,0,7.862930464826512,17.627377229058766,NA,NA
113.8794823528354,0.4931318425268388,0.03624114249675486,0.023642061940002106,0.10391633604077977,0.0198553848683407,0,2.135867662334814,9.78532944174367,NA,NA
114.03636125719603,0.5709571986491387,0.00699651785361263,0.005465539745178644,0.1440751580208413,0.005496106536042954,0,14.831165680003947,36.20495904158088,NA,NA
114.74757707911998,0.4790153978274682,0.0019677659951859994,0.00193707674350972,0.2344762616362961,0.0018375410891200996,0,37.11723562505181,18.259691033796116,NA,NA
116.23215020696006,0.4499502428040467,0.008840611152418102,0.006761127985110783,0.1157750262266551,0.0059705602950617664,0,7.289484543838696,17.015452823747182,NA,NA
116.28955529787937,0.40629001737418663,0.003739999301667038,0.0038499404825198666,0.16089280790916827,0.004312296640396485,0,14.049177830408501,12.496671588360186,NA,NA
118.06173826360158,0.6634277218368814,NA,0.0013039554392097086,0.2224631774516274,NA,0,17.79934063583756,22.057281172979856,NA,NA
119.65303193841126,0.4856787189297303,0.0019677659951859994,0.0016852050002828835,0.17799997689304242,0.0013094222761588772,0,38.15705294766851,37.49898297608161,NA,NA
119.9001120073868,0.45131954771223143,0.009298727531542834,0.006930793055695965,0.11298415978489913,0.0060779420181697585,0,6.972602278032468,18.416244468327932,NA,NA
120.18478284338623,0.4355614472662614,0.008068611496479713,0.0059310042212482525,0.11764560028190404,0.006792375580673113,0,7.4842827598651045,16.584433631993306,NA,NA
120.72028186194837,0.48046696678964,0.004240578490747292,0.0038042504871031073,0.15363463485932108,0.0034723209207372283,0,17.328145649685467,28.10082173149567,NA,NA
120.96575018657336,0.9083034223957709,0.004283347193424986,0.002691326945773606,0.2818640151566853,0.003569209982506382,0,61.30963776539956,129.28291631445245,NA,NA
121.11830396082681,0.3681880263072681,0.008332050564711332,0.0072394028148576465,0.12396355008195455,0.008856780925895487,0,5.178900321164468,4.555855634807813,NA,NA
121.21812300830122,0.818249603195248,0.008100453358347788,0.004367357534340329,0.17911203709058793,0.004958147706667744,0,26.309488715206566,91.92874870226296,NA,NA
121.73532064975473,0.6921418609374596,0.02004540720156025,0.010292024634634207,0.12922090252052892,0.011154584371149228,0,7.607211255556768,31.011554558426724,NA,NA
121.95697968961055,1.9726868779040354,0.010491465830967432,0.004311264946554806,0.34921413104528143,0.004650377661332424,0,118.06747301453233,527.817967577128,NA,NA
122.17513663817883,1.390143414207804,0.02146314389910636,0.007821293516800592,0.1906566886936471,0.007888371916671152,0,28.659987929981174,193.53386960135322,NA,NA
122.59858510739788,1.6724932584397252,0.010548940949639502,0.005016055178616957,0.3118994824830257,0.004988606798619021,0,84.40535829865627,158.02274927057078,NA,NA
122.76757048405453,2.482801902112839,0.025959333836435783,0.007882587680895118,0.295879468178959,0.00832661842254599,0,75.58588853152588,551.0500999639844,NA,NA
122.95830372052818,1.7498226111419957,0.01759605656237577,0.006739990462347583,0.2634962252407374,0.0075885526900238785,0,55.38891096444951,196.01245258235576,NA,NA
123.4071593021519,1.123574637334684,0.015305267996694235,0.00649182653795005,0.18569528114969786,0.00718310725228177,0,26.255061699849684,122.48123877861872,NA,NA
123.62220432305602,1.5849621190805294,0.01644537770051205,0.005887044880621099,0.2355938144567792,0.007080280616758139,0,48.623257269326544,333.8184672959287,NA,NA
123.85277509798722,1.2976614189530897,0.0075195670044502635,0.0037812350571333575,0.27428595051994276,0.004200624289025754,0,71.28203327983701,231.97423005393284,NA,NA
124.43621004058618,0.5545461919164253,0.021164884242979166,0.012246864963843241,0.10837431338048344,0.011413214422003461,0,4.624978140486044,21.597111853425304,NA,NA
124.68414403287575,0.7439371583095651,0.0076569292674693755,0.004731444809425173,0.1660937292178713,0.004376404462635364,0,23.00742394274011,70.56978113907462,NA,NA
124.82163709512646,0.42732658794465694,0.022036378651234357,0.01631048306940465,0.11934667079645375,0.018108958293332755,0,2.6377263106266176,5.1990728804667015,NA,NA
124.9270602438894,0.5184347283909017,0.00818671860409311,0.005324755699353665,0.13099701183128246,0.00634110067417755,0,10.450292255023369,22.61177862377008,NA,NA
125.3496812995233,0.45665588364023246,NA,0.001779125111010003,0.21239894585886035,NA,0,8.43324659800299,3.485566736460896,NA,NA
